date,ic_mom63,ic_score
2016-12-30 00:00:00,0.060440,-0.148352
2017-01-03 00:00:00,0.329670,0.456044
2017-01-04 00:00:00,-0.956044,-0.752747
2017-01-05 00:00:00,0.269231,0.461538
2017-01-06 00:00:00,-0.686813,-0.434066
2017-01-09 00:00:00,0.098901,0.027473
2017-01-10 00:00:00,0.302198,0.115385
2017-01-11 00:00:00,-0.791209,-0.609890
2017-01-12 00:00:00,0.587912,0.423077
2017-01-13 00:00:00,-0.780220,-0.609890
2017-01-17 00:00:00,0.571429,0.516484
2017-01-18 00:00:00,-0.043956,0.186813
2017-01-19 00:00:00,0.373626,0.318681
2017-01-20 00:00:00,-0.686813,-0.307692
2017-01-23 00:00:00,0.703297,0.406593
2017-01-24 00:00:00,0.642857,0.565934
2017-01-25 00:00:00,0.379121,0.186813
2017-01-26 00:00:00,-0.549451,-0.214286
2017-01-27 00:00:00,-0.604396,-0.296703
2017-01-30 00:00:00,-0.642857,-0.576923
2017-01-31 00:00:00,0.351648,0.527473
2017-02-01 00:00:00,-0.675824,-0.291209
2017-02-02 00:00:00,0.653846,0.148352
2017-02-03 00:00:00,-0.390110,0.038462
2017-02-06 00:00:00,-0.318681,0.016484
2017-02-07 00:00:00,-0.840659,-0.395604
2017-02-08 00:00:00,0.670330,0.137363
2017-02-09 00:00:00,0.708791,0.478022
2017-02-10 00:00:00,0.615385,0.423077
2017-02-13 00:00:00,0.478022,0.263736
2017-02-14 00:00:00,0.313187,0.170330
2017-02-15 00:00:00,-0.181319,0.126374
2017-02-16 00:00:00,0.186813,0.329670
2017-02-17 00:00:00,0.131868,0.115385
2017-02-21 00:00:00,0.192308,0.181319
2017-02-22 00:00:00,-0.478022,-0.351648
2017-02-23 00:00:00,-0.329670,0.005495
2017-02-24 00:00:00,0.049451,-0.159341
2017-02-27 00:00:00,-0.016484,0.071429
2017-02-28 00:00:00,0.065934,-0.263736
2017-03-01 00:00:00,-0.005495,0.247253
2017-03-02 00:00:00,0.456044,0.186813
2017-03-03 00:00:00,0.153846,0.302198
2017-03-06 00:00:00,0.703297,0.467033
2017-03-07 00:00:00,0.763736,0.642857
2017-03-08 00:00:00,0.329670,0.208791
2017-03-09 00:00:00,0.346154,0.296703
2017-03-10 00:00:00,0.115385,0.010989
2017-03-13 00:00:00,0.313187,0.302198
2017-03-14 00:00:00,-0.500000,-0.527473
2017-03-15 00:00:00,0.049451,-0.054945
2017-03-16 00:00:00,-0.423077,-0.384615
2017-03-17 00:00:00,0.417582,0.175824
2017-03-20 00:00:00,0.142857,-0.054945
2017-03-21 00:00:00,0.489011,0.340659
2017-03-22 00:00:00,-0.291209,-0.115385
2017-03-23 00:00:00,0.379121,0.060440
2017-03-24 00:00:00,0.587912,0.197802
2017-03-27 00:00:00,-0.741758,-0.450549
2017-03-28 00:00:00,-0.043956,-0.368132
2017-03-29 00:00:00,-0.417582,-0.054945
2017-03-30 00:00:00,0.269231,-0.065934
2017-03-31 00:00:00,0.351648,0.142857
2017-04-03 00:00:00,0.054945,0.010989
2017-04-04 00:00:00,0.170330,0.142857
2017-04-05 00:00:00,-0.664835,-0.417582
2017-04-06 00:00:00,0.357143,0.258242
2017-04-07 00:00:00,-0.406593,-0.368132
2017-04-10 00:00:00,-0.313187,-0.521978
2017-04-11 00:00:00,0.395604,0.329670
2017-04-12 00:00:00,0.736264,0.681319
2017-04-13 00:00:00,-0.318681,-0.274725
2017-04-17 00:00:00,0.362637,0.401099
2017-04-18 00:00:00,0.192308,0.049451
2017-04-19 00:00:00,-0.291209,-0.434066
2017-04-20 00:00:00,0.340659,0.472527
2017-04-21 00:00:00,-0.192308,-0.329670
