date,close,ma_short,ma_long,signal,position
2021-05-14,390.1412353516,389.48235321045,379.40653015137394,1,1
2021-05-17,389.1484680176,389.496867370605,380.02730895996797,1,1
2021-05-18,385.795715332,389.48609619140495,380.61669250489,1,1
2021-05-19,384.7841796875,389.24212646484,381.084094238288,1,1
2021-05-20,388.9237060547,389.38307495117,381.5892944336,1,1
2021-05-21,388.6052856445,389.29878387451004,382.01438110352206,1,1
2021-05-24,392.5668334961,389.371835327145,382.508803710944,1,1
2021-05-25,391.6958312988,389.405552673335,382.94193237305205,1,1
2021-05-26,392.4731750488,389.48375244140004,383.39994384766004,1,1
2021-05-27,392.6791687012,389.44769439697,383.836871337894,1,1
2021-05-28,393.3816223145,389.57600250244,384.395757446294,1,1
2021-06-01,393.03515625,389.64483795165995,384.9612371826221,1,1
2021-06-02,393.6531677246,389.86538848877,385.480825195318,1,1
2021-06-03,392.1922607422,390.00681152344004,386.02907287598197,1,1
2021-06-04,395.7791137695,390.172108459475,386.68614440918407,1,1
2021-06-07,395.3951416016,390.175389099125,387.294703979498,1,1
2021-06-08,395.4794311523,390.37861480713,387.787319946294,1,1
2021-06-09,394.8893737793,390.727003479005,388.27188110352,1,1
2021-06-10,396.7250061035,391.579246520995,388.812821044926,1,1
2021-06-11,397.3805847168,392.23622283935504,389.33690551758195,1,1
2021-06-14,398.2702941895,392.64267578125,389.798616333012,1,1
2021-06-15,397.5398254395,393.062243652345,390.13801635742595,1,1
2021-06-16,395.3201599121,393.53846588135,390.43751831055,1,1
2021-06-17,395.1891174316,394.058712768555,390.72559631347804,1,1
2021-06-18,389.8579101562,394.10542297362997,390.870899658204,1,1
2021-06-21,395.4389953613,394.44710845947,391.07219543457,1,1
2021-06-22,397.5531616211,394.69642486572,391.31296447753806,1,1
2021-06-23,397.0739440918,394.96533050536993,391.521296386718,1,1
2021-06-24,399.4229431152,395.31281890869,391.80301879882603,1,1
2021-06-25,400.8417358398,395.72094726562,392.03032775878603,1,1
2021-06-28,401.6498413086,396.134358215325,392.247764282224,1,1
2021-06-29,401.8659362793,396.57589721679,392.50791931152,1,1
2021-06-30,402.2040405273,397.003440856925,392.831777343746,1,1
2021-07-01,404.4310302734,397.615379333485,393.127126464838,1,1
